YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,STATE,LATITUDE,LONGITUDE,DEATHS,INJURIES,Depth
1939,3.0,20.0,3.0,22.0,0.0,6.6,0.0,JAPAN,"SEIKAIDO, JAPAN",no info,32.3,132.0,0.0,0.0,20.0
1939,4.0,18.0,6.0,22.0,45.0,7.4,0.0,CHILE,CHILE:  NORTH CENTRAL,no info,-27.0,-70.5,0.0,0.0,100.0
1939,4.0,30.0,2.0,55.0,29.1,7.9,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,no info,-9.295,159.234,0.0,0.0,35.0
1939,5.0,1.0,5.0,58.0,0.0,7.0,0.0,JAPAN,JAPAN:  HONSHU:  NW,no info,40.1,139.5,27.0,52.0,0.0
1939,5.0,6.0,17.0,0.0,7.0,6.5,5.0,PHILIPPINES,"PHILIPPINES:  LUZON ISLAND, MINDOR ISLAND",no info,13.5,121.25,0.0,0.0,110.0
1939,5.0,8.0,1.0,46.0,52.9,6.5,10.0,AZORES (PORTUGAL),AZORES:  ATLANTIC,no info,37.053000000000004,-24.427,0.0,0.0,16.0
1939,6.0,22.0,19.0,19.0,26.0,6.4,9.0,GHANA,GHANA:  ACCRA,no info,5.18,-0.13,22.0,130.0,13.0
1939,6.0,24.0,4.0,22.0,0.0,0.0,0.0,PERU,PERU:  POMACANCHI,no info,-12.5,-72.0,37.0,0.0,0.0
1939,8.0,15.0,3.0,52.0,0.0,5.6,8.0,CUBA,CUBA: SANTA CLARA,no info,22.2,-79.1,0.0,0.0,0.0
1939,9.0,19.0,0.0,0.0,0.0,5.5,7.0,CHINA,CHINA:  YUNNAN PROVINCE,no info,24.4,102.5,2.0,0.0,0.0
1939,9.0,21.0,0.0,37.0,0.0,6.5,9.0,TURKEY,TURKEY,no info,39.1,26.8,41.0,0.0,0.0
1939,10.0,11.0,14.0,51.0,0.0,0.0,7.0,PERU,PERU:  CHUQUIBAMBA,no info,-15.305,-72.19,0.0,0.0,120.0
